"endTime","artistName","trackName","msPlayed"
"2024-01-24 19:08","Makar","Eenzaam",167619
"2024-01-24 19:11","Gilli","Spinner (feat. Makar)",205098
"2024-01-24 19:14","Makar","Du Bist Mein",153615
"2024-01-24 19:17","Makar","Mariuhana",193984
"2024-01-24 19:19","Makar","Paranoia",144920
"2024-01-24 19:22","Makar","Gnumes - Remix",132283
"2024-01-24 19:24","Makar","Kniel Voor Me",143818
"2024-01-24 19:26","Makar","Mi Amor",110053
"2024-01-24 19:29","Yung Felix","247 (feat. Makar)",177637
"2024-01-24 19:31","Makar","Broken",105926
"2024-01-24 19:33","Makar","RAUS",160645
"2024-01-24 19:36","Makar","Dream",144000
"2024-01-24 19:39","Talk Down","Red Wine",185280
"2024-01-24 19:42","Makar","Alone",163069
"2024-01-24 19:44","Makar","Dream",144000
"2024-01-24 19:47","Gilli","Spinner (feat. Makar)",7410
"2024-01-24 19:47","Makar","Eenzaam",7140
"2024-01-24 19:47","Makar","High In Amsterdam",155014
"2024-01-24 19:49","C.Gambino","FASTNAT",156826
"2024-01-24 19:53","Robbz x Brookz","TRIANGELDRAMA",232012
"2024-01-24 19:57","Capo 13","Enjoy yo life",163526
"2024-01-24 20:01","Pop Smoke","Dior",216386
"2024-01-24 20:03","23","M.O.B",108000
"2024-01-24 20:05","Yasin","Talk 2 Me",150666
"2024-01-24 20:09","Pop Smoke","For The Night (feat. Lil Baby & DaBaby)",190476
"2024-01-24 20:11","Robbz x Brookz","Block Baby",148800
"2024-01-24 20:14","Romeo","Energy",147274
"2024-01-24 20:16","Shiro","HIGH ROLLERS",135491
"2024-01-24 20:19","Yasin","flygplansläge",177062
"2024-01-24 20:20","Robbz x Brookz","MALI",820
"2024-01-24 20:20","Jacco","Hörnet",980
"2024-01-24 20:20","Ant Wan","Wenak",59296
"2024-01-24 20:20","Ant Wan","En",840
"2024-01-24 20:23","Thrife","SEVILLA",175522
"2024-01-24 20:26","Adel","Hotell",183157
"2024-01-24 20:28","23","Savastano",123428
"2024-01-24 20:30","Romeo","Tillbaka",920
"2024-01-24 20:30","Ant Wan","Komplicerat",127811
"2024-01-24 20:34","Ant Wan","Komplicerat",268120
"2024-01-24 20:35","Robbz x Brookz","SKUDUDU",1210
"2024-01-24 20:35","Dizzy","ZUTTLUKTEN",910
"2024-01-24 20:35","HAVAL","HAYATI",830
"2024-01-24 20:35","Romeo","Tillbaka",0
"2024-01-24 20:35","Yasin","Workin",730
"2024-01-24 20:35","Romeo","Cette",14120
"2024-01-24 20:35","Bonez MC","Sommer",780
"2024-01-24 20:35","HAVAL","GANG GANG",750
"2024-01-24 20:35","Robbz x Brookz","23",700
"2024-01-24 20:35","Thrife","KAN DU HÖRA MIG",1440
"2024-01-24 20:35","GULEED","ENDZ",880
"2024-01-24 20:35","Yasin","Spiderman ( Intro )",1140
"2024-01-24 20:35","Thrife","HYPNOTIZE",680
"2024-01-24 20:35","Aden x Asme","Banger (feat. Cherrie)",880
"2024-01-24 20:35","Ant Wan","Habiba",800
"2024-01-24 20:35","23","Jungle",890
"2024-01-24 20:35","Ricky Rich","ICE",820
"2024-01-24 20:35","HAVAL","KANDAHAR",900
"2024-01-24 20:35","Adel","Hundra",860
"2024-01-24 20:35","23","Xatar",1120
"2024-01-24 20:35","MIGI","Toute la nuit (Hela natten)",810
"2024-01-24 20:35","Pop Smoke","The Woo (feat. 50 Cent & Roddy Ricch)",930
"2024-01-24 20:35","Naod","Dra",850
"2024-01-24 20:35","MIGI","Casablanca",1150
"2024-01-24 20:35","Thrife","Pineapple Kush",1480
"2024-01-24 20:45","Talk Down","Red Wine",525477
"2024-01-24 20:49","Lartiste","00:00",238939
"2024-01-24 20:50","Moha K","Rapapap",28506
"2024-01-24 20:54","Makar","Dream",0
"2024-01-24 20:54","Makar","RAUS",249531
"2024-01-24 20:57","Makar","RAUS",91325
"2024-01-25 08:43","Massari","Real Love",3114
"2024-01-25 15:00","Masri","El 7ob Sa3b",142800
"2024-01-25 15:08","Nej","Inta habibi",70261
"2024-01-25 15:15","Ehaam","Parvaneh Var",291157
"2024-01-25 17:08","Makar","RAUS",318855
"2024-01-25 17:11","Makar","Dream",144000
"2024-01-25 17:16","Makar","RAUS",300530
"2024-01-25 17:18","Makar","Dream",144000
"2024-01-25 17:21","Jazeek","112",146808
"2024-01-25 17:22","OG LOCKE","THE GIRL IS MINE",97746
"2024-01-25 17:24","BOJAN","SARAJEVO FREESTYLE",103404
"2024-01-25 17:27","Samra","Zanka",162304
"2024-01-25 17:30","LOC 079","Fuego",164859
"2024-01-25 17:35","Jazeek","112",130
"2024-01-25 17:35","Samra","Zanka",850
"2024-01-25 17:35","Makar","Dream",150
